Search Query|Norm Query|Miner|Miner args|Query|Shard Kind
ночные сорочки беларусь|subj_беларусь ночной subj_сорочка|elasticsearch|--context-subject="ночные сорочки" --query="ночные сорочки беларусь" --context-subject-filter=true|preset=10078132|presets/bucket_32
ночные сорочки больших|большой ночной subj_сорочка|elasticsearch|--context-subject="ночные сорочки" --max-product=35000 --query="ночные сорочки больших" --context-subject-filter=true|preset=10323670|presets/bucket_32
ночные сорочки больших размеров нарядные|большой нарядный ночной размер subj_сорочка|elasticsearch|--context-subject="ночные сорочки" --max-product=35000 --query="ночные сорочки больших размеров нарядные"|preset=10749351|presets/bucket_32
ночные сорочки и пижамы|и ночной subj_пижама subj_сорочка|elasticsearch|--context-subject="ночные сорочки" --query="ночные сорочки и пижамы" --context-subject-filter=true|preset=10173980|presets/bucket_32
ночные трусики|ночной subj_трусик|elasticsearch|--context-subject="трусы" --query="ночные трусики" --context-subject-filter=true|preset=10108989|presets/bucket_32
ночные шорты с майкой|ночной с_майка subj_шорты|elasticsearch|--max-product=35000 --query="ночные шорты с майкой"|preset=19166951|presets/bucket_32
одежда для дома с шортами|домашний subj_одежда с_шорты|elasticsearch|--context-subject="шорты" --max-product=35000 --query="одежда для дома с шортами" --context-subject-filter=true|preset=10777177|presets/bucket_32
одежда для полдэнс|для_полдэнс subj_одежда|elasticsearch|--query="одежда для полдэнс"|preset=10165385|presets/bucket_32
опиум трусы мужские|для_мужчина subj_опиум subj_трусы|elasticsearch|--context-subject="трусы" --query="опиум трусы мужские" --context-subject-filter=true|preset=10177717&kind=0;1|presets/bucket_32
опоры для малины|для_малина subj_опора|elasticsearch|--context-subject="опора для растений" --max-product=35000 --query="опоры для малины"|preset=11042212|presets/bucket_32
орхан памук|subj_орхан subj_памук|elasticsearch|--context-subject="книги" --query="орхан памук" --context-subject-filter=true|preset=10182048|presets/bucket_32
памук книги|subj_книга subj_памук|elasticsearch|--context-subject="книги" --query="памук книги"|preset=10234802|presets/bucket_32
памук|subj_памук|elasticsearch|--query="памук"|preset=10091231|presets/bucket_32
парные трусы|парный subj_трусы|elasticsearch|--context-subject="трусы" --query="парные трусы" --context-subject-filter=true|preset=10107404|presets/bucket_32
парфюм малина|subj_малина subj_парфюм|elasticsearch|--context-subject="духи" --max-product=35000 --query="парфюм малина"|preset=19325701|presets/bucket_32
пеньюар в роддом|в_роддом subj_пеньюар|elasticsearch|--context-subject="пеньюар" --query="пеньюар в роддом" --context-subject-filter=true|preset=10193029|presets/bucket_32
пеньюар для беременных и кормящих|для_беременная и кормящий subj_пеньюар|elasticsearch|--context-subject="пеньюар" --query="пеньюар для беременных и кормящих"|preset=10166080|presets/bucket_32
пеньюар для кормления|для_кормление subj_пеньюар|elasticsearch|--context-subject="пеньюар" --max-product=35000 --query="пеньюар для кормления"|preset=10781992|presets/bucket_32
пеньюар для кормящих|для_кормящий subj_пеньюар|elasticsearch|--context-subject="пеньюар" --max-product=35000 --query="пеньюар для кормящих"|preset=19124258|presets/bucket_32
пеньюар женский большой размер|большой для_женщина subj_пеньюар subj_размер|elasticsearch|--context-subject="пеньюар" --max-product=35000 --query="пеньюар женский большой размер" --context-subject-filter=true|preset=19124292|presets/bucket_32
пеньюар женский в роддом|в_роддом для_женщина subj_пеньюар|elasticsearch|--context-subject="пеньюар" --max-product=35000 --query="пеньюар женский в роддом"|preset=19136080|presets/bucket_32
пеньюар женский для беременных|для_беременная для_женщина subj_пеньюар|elasticsearch|--context-subject="пеньюар" --max-product=35000 --query="пеньюар женский для беременных" --context-subject-filter=true|preset=10351492|presets/bucket_32
пеньюар женский кружевной для беременных|для_беременная для_женщина из_кружево subj_пеньюар|elasticsearch|--context-subject="пеньюар" --max-product=35000 --query="пеньюар женский кружевной для беременных"|preset=10693498|presets/bucket_32
пеньюар женский ночной|для_женщина ночной subj_пеньюар|elasticsearch|--context-subject="пеньюар" --max-product=35000 --query="пеньюар женский ночной"|preset=19328500|presets/bucket_32
пеньюар с сорочкой большого размера|большой subj_пеньюар размер с_сорочка|elasticsearch|--context-subject="пеньюар" --max-product=35000 --query="пеньюар с сорочкой большого размера" --context-subject-filter=true|preset=10629509|presets/bucket_32
пеньюар с сорочкой|subj_пеньюар с_сорочка|elasticsearch|--context-subject="пеньюар" --query="пеньюар с сорочкой"|preset=10187567|presets/bucket_32
пеньюар с сорочкой шелковый|subj_пеньюар с_сорочка subj_шелк|elasticsearch|--context-subject="пеньюар" --max-product=35000 --query="пеньюар с сорочкой шелковый"|preset=10609948|presets/bucket_32
пеньюар хлопок|из_хлопок subj_пеньюар|elasticsearch|--context-subject="пеньюар" --max-product=35000 --query="пеньюар хлопок" --context-subject-filter=true|preset=19123962|presets/bucket_32
персик|subj_персик|elasticsearch|--context-subject="персики" --query="персик" --irrelevant-score-percent=0 --context-subject-filter=true|preset=10008653|presets/bucket_32
пижама benetton|benetton subj_пижама|elasticsearch|--context-subject="пижама" --query="пижама benetton" --context-subject-filter=true|preset=10090564|presets/bucket_32
пижама disney|disney subj_пижама|elasticsearch|--context-subject="пижама" --query="пижама disney" --context-subject-filter=true|preset=10091845|presets/bucket_32
пижама h&m|h&m subj_пижама|elasticsearch|--context-subject="пижама" --query="пижама h&m" --context-brand="h&m"|preset=10200792|presets/bucket_32
пижама infinity|infinity subj_пижама|elasticsearch|--context-subject="пижама" --query="пижама infinity" --context-subject-filter=true|preset=10066531|presets/bucket_32
пижама белая с шортами|белый subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама белая с шортами" --context-subject-filter=true|preset=19328486|presets/bucket_32
пижама брюки халат|subj_брюки subj_пижама subj_халат|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама брюки халат" --context-subject-filter=true|preset=10629931|presets/bucket_32
пижама в виде зверей|в_вид зверь subj_пижама|elasticsearch|--context-subject="пижама" --query="пижама в виде зверей" --context-subject-filter=true|preset=10172780|presets/bucket_32
пижама вискоза с шортами|из_вискоза subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама вискоза с шортами" --context-subject-filter=true|preset=19166602|presets/bucket_32
пижама детская с шортами|для_детей subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --query="пижама детская с шортами" --context-subject-filter=true|preset=10107041&kind=3;5;6|presets/bucket_32
пижама детская холодное сердце|для_детей subj_пижама subj_сердце холодный|elasticsearch|--context-subject="пижама" --query="пижама детская холодное сердце" --context-subject-filter=true|preset=10182240&kind=3;5;6|presets/bucket_32
пижама для девочки 140 с шортами|140 для_девочка subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама для девочки 140 с шортами" --context-subject-filter=true|preset=19158508|presets/bucket_32
пижама для девочки 146 152 с шортами|146 152 для_девочка subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама для девочки 146 152 с шортами" --context-subject-filter=true|preset=19164191|presets/bucket_32
пижама для девочки 146 с шортами|146 для_девочка subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама для девочки 146 с шортами" --context-subject-filter=true|preset=19158776|presets/bucket_32
пижама для девочки летняя с шортами|для_девочка на_лето subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама для девочки летняя с шортами" --context-subject-filter=true|preset=19166505|presets/bucket_32
пижама для девочки подростка с шортами|для_девочка subj_пижама подросток с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама для девочки подростка с шортами" --context-subject-filter=true|preset=10328692|presets/bucket_32
пижама для девочки сорочка|для_девочка subj_пижама subj_сорочка|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама для девочки сорочка" --context-subject-filter=true|preset=19162924|presets/bucket_32
пижама для девочки с топиком|для_девочка subj_пижама с_топик|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама для девочки с топиком" --context-subject-filter=true|preset=10782824|presets/bucket_32
пижама для девочки с шортами|для_девочка subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --query="пижама для девочки с шортами" --irrelevant-score-percent=0 --context-subject-filter=true|preset=10016340&kind=3;5|presets/bucket_32
пижама для девочки с шортами твое|для_девочка subj_пижама с_шорты твой|elasticsearch|--context-brand="твое" --context-subject="пижама" --max-product=35000 --query="пижама для девочки с шортами твое" --context-subject-filter=true|preset=19167013|presets/bucket_32
пижама для девочки холодное сердце|для_девочка subj_пижама subj_сердце холодный|elasticsearch|--context-subject="пижама" --query="пижама для девочки холодное сердце" --context-subject-filter=true|preset=10196056&kind=3;5|presets/bucket_32
пижама для девочки шорты и футболка|для_девочка и subj_пижама subj_футболка subj_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама для девочки шорты и футболка" --context-subject-filter=true|preset=11003109|presets/bucket_32
пижама для мальчика с шортами|для_мальчик subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --query="пижама для мальчика с шортами" --context-subject-filter=true|preset=10041512&kind=3;6|presets/bucket_32
пижама для секса|для_секс subj_пижама|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама для секса" --context-subject-filter=true --keep-adult=true|preset=19162640|presets/bucket_32
пижама женская victoria's secret|secret victoria's для_женщина subj_пижама|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская victoria's secret" --context-subject-filter=true|preset=10650279&kind=0;2|presets/bucket_32
пижама женская виктория|викторий для_женщина subj_пижама|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская виктория" --context-subject-filter=true|preset=19148571|presets/bucket_32
пижама женская кружевная|для_женщина из_кружево subj_пижама|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская кружевная" --context-subject-filter=true|preset=18921635|presets/bucket_32
пижама женская майка со штанами|для_женщина subj_майка subj_пижама со штаны|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская майка со штанами" --context-subject-filter=true|preset=10360234|presets/bucket_32
пижама женская майка с шортами|для_женщина subj_майка subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --query="пижама женская майка с шортами" --context-subject-filter=true|preset=10154891&kind=0;2|presets/bucket_32
пижама женская на бретелях|для_женщина на_бретель subj_пижама|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская на бретелях" --context-subject-filter=true|preset=19332944|presets/bucket_32
пижама женская натали|для_женщина subj_натали subj_пижама|elasticsearch|--context-brand="натали" --context-subject="пижама" --query="пижама женская натали" --context-subject-filter=true|preset=10131830&kind=0;2|presets/bucket_32
пижама женская пеликан|для_женщина subj_пеликан subj_пижама|elasticsearch|--context-subject="пижама" --query="пижама женская пеликан" --context-subject-filter=true|preset=10016952&kind=0;2|presets/bucket_32
пижама женская пеньюар|для_женщина subj_пеньюар subj_пижама|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская пеньюар" --context-subject-filter=true|preset=19155999|presets/bucket_32
пижама женская с длинными шортами|для_женщина subj_пижама с_длинный шорты|elasticsearch|--context-subject="пижама" --query="пижама женская с длинными шортами" --context-subject-filter=true|preset=10164418&kind=0;2|presets/bucket_32
пижама женская с короткими шортами|для_женщина subj_пижама с_короткий шорты|elasticsearch|--context-subject="пижама" --query="пижама женская с короткими шортами" --context-subject-filter=true|preset=10042827&kind=0;2|presets/bucket_32
пижама женская с коротким топом|для_женщина subj_пижама с_короткий топ|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская с коротким топом" --context-subject-filter=true|preset=19136713|presets/bucket_32
пижама женская слитная|для_женщина subj_пижама слитный|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская слитная" --context-subject-filter=true|preset=19157019|presets/bucket_32
пижама женская с майкой|для_женщина subj_пижама с_майка|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская с майкой" --context-subject-filter=true|preset=10354907|presets/bucket_32
пижама женская сорочка|для_женщина subj_пижама subj_сорочка|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская сорочка" --context-subject-filter=true|preset=19124062|presets/bucket_32
пижама женская со штанами виктория сикрет|викторий для_женщина subj_пижама сикрет со штаны|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская со штанами виктория сикрет" --context-subject-filter=true|preset=10629358|presets/bucket_32
пижама женская со штанами и халатом|для_женщина и subj_пижама со халат штаны|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская со штанами и халатом" --context-subject-filter=true|preset=10580272|presets/bucket_32
пижама женская с удлиненными шортами|для_женщина subj_пижама с_удлиненный шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская с удлиненными шортами" --context-subject-filter=true|preset=10693450|presets/bucket_32
пижама женская с шортами 42|42 для_женщина subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская с шортами 42" --context-subject-filter=true|preset=19156561|presets/bucket_32
пижама женская с шортами 44|44 для_женщина subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская с шортами 44" --context-subject-filter=true|preset=19157312|presets/bucket_32
пижама женская с шортами 46|46 для_женщина subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская с шортами 46" --context-subject-filter=true|preset=19155410|presets/bucket_32
пижама женская с шортами 48|48 для_женщина subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская с шортами 48" --context-subject-filter=true|preset=19434865|presets/bucket_32
пижама женская с шортами 52|52 для_женщина subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская с шортами 52" --context-subject-filter=true|preset=19129391|presets/bucket_32
пижама женская с шортами 54|54 для_женщина subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская с шортами 54" --context-subject-filter=true|preset=19143417|presets/bucket_32
пижама женская с шортами 54 размер|54 для_женщина subj_пижама subj_размер с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская с шортами 54 размер" --context-subject-filter=true|preset=19143816|presets/bucket_32
пижама женская с шортами 56 размер|56 для_женщина subj_пижама subj_размер с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская с шортами 56 размер" --context-subject-filter=true|preset=19434945|presets/bucket_32
пижама женская с шортами 58|58 для_женщина subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская с шортами 58" --context-subject-filter=true|preset=19153174|presets/bucket_32
пижама женская с шортами 60 размер|60 для_женщина subj_пижама subj_размер с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская с шортами 60 размер" --context-subject-filter=true|preset=19136259|presets/bucket_32
пижама женская с шортами белая|белый для_женщина subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская с шортами белая" --context-subject-filter=true|preset=19434894|presets/bucket_32
пижама женская с шортами большие размеры|большой для_женщина subj_пижама размер с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская с шортами большие размеры" --context-subject-filter=true|preset=10355003|presets/bucket_32
пижама женская с шортами вискоза|для_женщина из_вискоза subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская с шортами вискоза" --context-subject-filter=true|preset=10331457|presets/bucket_32
пижама женская с шортами в клетку|для_женщина клетчатый subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская с шортами в клетку" --context-subject-filter=true|preset=10711551|presets/bucket_32
пижама женская с шортами в полоску|в_полоска для_женщина subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская с шортами в полоску" --context-subject-filter=true|preset=19468804|presets/bucket_32
пижама женская с шортами красная|для_женщина красный subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская с шортами красная" --context-subject-filter=true|preset=19147881|presets/bucket_32
пижама женская с шортами кружево|для_женщина subj_кружево subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская с шортами кружево" --context-subject-filter=true|preset=10355491|presets/bucket_32
пижама женская с шортами одежда|для_женщина subj_одежда subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --query="пижама женская с шортами" --context-subject-filter=true|preset=11303&kind=0;2|presets/bucket_32
пижама женская с шортами однотонная|для_женщина однотонный subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская с шортами однотонная" --context-subject-filter=true|preset=19434923|presets/bucket_32
пижама женская с шортами розовая|для_женщина subj_пижама розовый с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская с шортами розовая" --context-subject-filter=true|preset=19148310|presets/bucket_32
пижама женская с шортами турция|для_женщина subj_пижама с_шорты subj_турция|elasticsearch|--context-subject="пижама" --query="пижама женская с шортами турция" --context-subject-filter=true|preset=10078361&kind=0;2|presets/bucket_32
пижама женская с шортами хлопок|для_женщина из_хлопок subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --query="пижама женская с шортами хлопок" --context-subject-filter=true|preset=10075447&kind=0;2|presets/bucket_32
пижама женская с шортами черная|для_женщина subj_пижама с_шорты черный|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская с шортами черная" --context-subject-filter=true|preset=19182834|presets/bucket_32
пижама женская с шортами эротик|для_женщина subj_пижама с_шорты subj_эротик|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская с шортами эротик" --context-subject-filter=true|preset=19136720|presets/bucket_32
пижама женская топ|для_женщина subj_пижама subj_топ|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская топ" --context-subject-filter=true|preset=18953323|presets/bucket_32
пижама женская топ и штаны|subj_брюки для_женщина и subj_пижама subj_топ|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская топ и штаны" --context-subject-filter=true|preset=10353604|presets/bucket_32
пижама женская халат сорочка|для_женщина subj_пижама subj_сорочка subj_халат|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская халат сорочка" --context-subject-filter=true|preset=19667756|presets/bucket_32
пижама женская шелковая с кружевом|для_женщина subj_пижама с_кружево subj_шелк|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская шелковая с кружевом" --context-subject-filter=true|preset=19244986|presets/bucket_32
пижама женская шорты футболка|для_женщина subj_пижама subj_футболка subj_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская шорты футболка" --context-subject-filter=true|preset=10349938|presets/bucket_32
пижама женская шорты штаны|subj_брюки для_женщина subj_пижама subj_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама женская шорты штаны" --context-subject-filter=true|preset=10749914|presets/bucket_32
пижама комбинация|subj_комбинация subj_пижама|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама комбинация" --context-subject-filter=true|preset=19143314|presets/bucket_32
пижама майка брюки|subj_брюки subj_майка subj_пижама|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама майка брюки" --context-subject-filter=true|preset=10650465|presets/bucket_32
пижама майка шорты детская|для_детей subj_майка subj_пижама subj_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама майка шорты детская" --context-subject-filter=true|preset=19435000|presets/bucket_32
пижама на бретельках детская|для_детей на_бретелька subj_пижама|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама на бретельках детская" --context-subject-filter=true|preset=19164308|presets/bucket_32
пижама на лямках|на_лямка subj_пижама|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама на лямках" --context-subject-filter=true|preset=18954819|presets/bucket_32
пижама на пуговицах женская с шортами|для_женщина на_пуговица subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама на пуговицах женская с шортами" --context-subject-filter=true|preset=19166830|presets/bucket_32
пижама неженка|subj_неженка subj_пижама|elasticsearch|--context-subject="пижама" --query="пижама неженка" --context-subject-filter=true|preset=10115537|presets/bucket_32
пижама ночнушка|ночной subj_пижама subj_сорочка|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама ночнушка" --context-subject-filter=true|preset=19135738|presets/bucket_32
пижама пеликан|subj_пеликан subj_пижама|elasticsearch|--context-subject="пижама" --query="пижама пеликан" --context-subject-filter=true|preset=10041816|presets/bucket_32
пижама рубашка и шорты хлопок|и из_хлопок subj_пижама subj_рубашка subj_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама рубашка и шорты хлопок" --context-subject-filter=true|preset=10629065|presets/bucket_32
пижама с длинными шортами|subj_пижама с_длинный шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама с длинными шортами" --context-subject-filter=true|preset=10733366|presets/bucket_32
пижама с короткими шортами|subj_пижама с_короткий шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама с короткими шортами" --context-subject-filter=true|preset=19166760|presets/bucket_32
пижама с коротким топом|subj_пижама с_короткий топ|elasticsearch|--context-subject="пижама" --query="пижама с коротким топом" --context-subject-filter=true|preset=10141502|presets/bucket_32
пижама с кроп топом|subj_пижама с_кроп топ|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама с кроп топом" --context-subject-filter=true|preset=10614980|presets/bucket_32
пижама с кружевным топом|subj_пижама с_кружевной топ|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама с кружевным топом" --context-subject-filter=true|preset=19204574|presets/bucket_32
пижама с кружевом|subj_пижама с_кружево|elasticsearch|--context-subject="пижама" --query="пижама с кружевом" --context-subject-filter=true|preset=10132302|presets/bucket_32
пижама слитная детская|для_детей subj_пижама слитный|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама слитная детская" --context-subject-filter=true|preset=19156330|presets/bucket_32
пижама слитная для девочки|для_девочка subj_пижама слитный|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама слитная для девочки" --context-subject-filter=true|preset=10650012|presets/bucket_32
пижама слитная для мальчика|для_мальчик subj_пижама слитный|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама слитная для мальчика" --context-subject-filter=true|preset=10630239|presets/bucket_32
пижама слитная|subj_пижама слитный|elasticsearch|--context-subject="пижама" --query="пижама слитная" --context-subject-filter=true|preset=10096924|presets/bucket_32
пижама с майкой|subj_пижама с_майка|elasticsearch|--context-subject="пижама" --query="пижама с майкой" --context-subject-filter=true|preset=10199833|presets/bucket_32
пижама с пеньюаром|subj_пижама с_пеньюар|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама с пеньюаром" --context-subject-filter=true|preset=10752373|presets/bucket_32
пижама сплошная|subj_пижама сплошной|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама сплошная" --context-subject-filter=true|preset=19148750|presets/bucket_32
пижама с топом|subj_пижама с_топ|elasticsearch|--context-subject="пижама" --query="пижама с топом" --context-subject-filter=true|preset=10116944|presets/bucket_32
пижама с широкими шортами|subj_пижама с_широкий шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама с широкими шортами" --context-subject-filter=true|preset=19156450|presets/bucket_32
пижама с шортами большие размеры|большой subj_пижама размер с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама с шортами большие размеры" --context-subject-filter=true|preset=10795274|presets/bucket_32
пижама с шортами для беременных|для_беременная subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама с шортами для беременных" --context-subject-filter=true|preset=19166470|presets/bucket_32
пижама с шортами для девочки 152|152 для_девочка subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама с шортами для девочки 152" --context-subject-filter=true|preset=19157854|presets/bucket_32
пижама с шортами для кормления|для_кормление subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама с шортами для кормления" --context-subject-filter=true|preset=10650636|presets/bucket_32
пижама с шортами для подростка|subj_пижама subj_подросток с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама с шортами для подростка" --context-subject-filter=true|preset=10794797|presets/bucket_32
пижама с шортами женская летняя|для_женщина на_лето subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --query="пижама с шортами женская летняя" --context-subject-filter=true|preset=10060633&kind=0;2|presets/bucket_32
пижама с шортами и халатом|и subj_пижама с_шорты халат|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама с шортами и халатом" --context-subject-filter=true|preset=10559846|presets/bucket_32
пижама с шортами кружевная|из_кружево subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --max-product=15000 --query="пижама с шортами кружевная" --context-subject-filter=true|preset=19143400|presets/bucket_32
пижама с шортами сексуальная|subj_пижама с_шорты сексуальный|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама с шортами сексуальная" --context-subject-filter=true --keep-adult=true|preset=19434844|presets/bucket_32
пижама с шортами турция|subj_пижама с_шорты subj_турция|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама с шортами турция" --context-subject-filter=true|preset=19166736|presets/bucket_32
пижама с шортами черная|subj_пижама с_шорты черный|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама с шортами черная" --context-subject-filter=true|preset=10781135|presets/bucket_32
пижама с шортиками женская|для_женщина subj_пижама с_шортики|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама с шортиками женская" --context-subject-filter=true|preset=10650762|presets/bucket_32
пижама с шортиками|subj_пижама с_шортики|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама с шортиками" --context-subject-filter=true|preset=10347074|presets/bucket_32
пижама твое топ|subj_пижама твой subj_топ|elasticsearch|--context-brand="твое" --context-subject="пижама" --max-product=35000 --query="пижама твое топ" --context-subject-filter=true|preset=19152852|presets/bucket_32
пижама топ и шорты|и subj_пижама subj_топ subj_шорты|elasticsearch|--context-subject="пижама" --query="пижама женская с шортами и топом" --context-subject-filter=true|preset=10200217|presets/bucket_32
пижама топ и штаны|subj_брюки и subj_пижама subj_топ|elasticsearch|--context-subject="пижама" --query="пижама топ и штаны" --context-subject-filter=true|preset=10151152|presets/bucket_32
пижама топ на резинке|на_резинка subj_пижама subj_топ|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама топ на резинке" --context-subject-filter=true|preset=19152202|presets/bucket_32
пижама топ с брюками|subj_пижама с_брюки subj_топ|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама топ с брюками" --context-subject-filter=true|preset=19157963|presets/bucket_32
пижама халат сорочка|subj_пижама subj_сорочка subj_халат|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама халат сорочка" --context-subject-filter=true|preset=10752194|presets/bucket_32
пижама холодное сердце|subj_пижама subj_сердце холодный|elasticsearch|--context-subject="пижама" --query="пижама холодное сердце" --context-subject-filter=true|preset=10095980|presets/bucket_32
пижама-шик|пижама-шик|elasticsearch|--context-subject="пижама" --query="пижама-шик"|preset=10132558|presets/bucket_32
пижама шорты и майка|и subj_майка subj_пижама subj_шорты|elasticsearch|--context-subject="пижама" --query="пижама шорты и майка" --context-subject-filter=true|preset=10129616|presets/bucket_32
пижама шорты и рубашка|и subj_пижама subj_рубашка subj_шорты|elasticsearch|--context-subject="пижама" --query="пижама шорты и рубашка" --context-subject-filter=true|preset=10201655|presets/bucket_32
пижама шорты и футболка для мальчика|для_мальчик и subj_пижама subj_футболка subj_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама шорты и футболка для мальчика" --context-subject-filter=true|preset=10699359|presets/bucket_32
пижама шорты и футболка|и subj_пижама subj_футболка subj_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="пижама шорты и футболка" --context-subject-filter=true|preset=10326806|presets/bucket_32
